id,name,rank,city_id,image
82,University Of Texas Arlington,1001,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/135704_UTA_1H_Lrg_3c-cmyk.png"
83,Amberton University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/91/91233_thumb.png"
84,Mind Development Academy,NULL,711.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97309_thumb.jpg"
85,Universiti Malaysia Sarawak,NULL,465.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/92/92997_thumb.png"
86,Eneb,NULL,725.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/113518_ENEBlogo.jpg"
87,Arizona State University,216,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/141759_1.jpg"
88,Augusta University Pamplin College Of Arts Humanities And Social Sciences,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/142846_augusta.png"
89,Formasup Campus,NULL,222.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/93/93851_thumb.png"
90,The University Of Wollongong In Dubai,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/110133_UOW_Primary_RegionalDubai_CMYK_DarkBlue.png"
91,Instituto Superior De Estudios Psicolufgicos Isep,NULL,742.0,NULL
92,Schouten Nelissen University Of Applied Sciences,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/156149_1519861010025.png"
93,Central South University,521,152.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/165064_South.png"
94,Atlantic International University Masters Programs,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/149452_oie_14112445fSFycIS9.png"
95,University Of Portland Pamplin School Of Business,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/148548_portland.png"
96,Uqar,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/122160_uqar-bleu-300.jpg"
97,Universidad Ucdtaca,NULL,503.0,NULL
