id,field_of_study,name,duration,url,language,mode,deadline,schedule,tution_amount,tution_currency,university_id
208,ADMINISTRATION,Global Master In Human Resources And Talent Development,12.0,,Spanish,ONLINE,,PARTTIME,12500.0,EUR,144
209,ADMINISTRATION,Ma In Human Resource Management,18.0,,English,ONLINE,,FULLTIME,7700.0,GBP,46
210,ADMINISTRATION,Master Of Public Affairs,24.0,,English,CAMPUS,,FULLTIME,18276.0,USD,2315
211,ADMINISTRATION,Masters Degree In Human Resources Management,12.0,,Spanish,ONLINE,,FULLTIME,11400.0,EUR,503
212,ADMINISTRATION,Master Of Science In Engineering Logistics And Traffic,24.0,http://www.kuleuven.be/onlineopendays,English,CAMPUS,,FULLTIME,,,148
213,ADMINISTRATION,Master Of Science In Engineering Logistics And Traffic,24.0,http://www.kuleuven.be/onlineopendays,English,CAMPUS,,PARTTIME,,,148
214,ADMINISTRATION,Master Of Science In Strategic Human Resource Management,30.0,,English,ONLINE,,FULLTIME,1140.0,USD,489
215,ADMINISTRATION,Master Of Science In Strategic Human Resource Management,30.0,,English,ONLINE,,PARTTIME,1140.0,USD,489
216,ADMINISTRATION,Msc Global Human Resource Management,24.0,https://studyonline.port.ac.uk/online-msc-global-human-resource-management?utm_campaign=Eduportals&utm_source=MasterStudies&utm_medium=CourseProfile&utm_term=CTA&utm_content=GlobalHumanResourceManagement,English,ONLINE,,PARTTIME,9500.0,GBP,150
217,ADMINISTRATION,Master In Human Resources Management And Talent Management,,,Spanish,CAMPUS,,,,,241
218,ADMINISTRATION,Ms In Human Resource Management And Organizational Effectiveness,18.0,,English,CAMPUS,,,915.0,USD,152
219,ADMINISTRATION,Master Of Science Logistics And Supply Chain Management,24.0,,English,CAMPUS,,FULLTIME,,,316
220,ADMINISTRATION,Master Of Public Administration,16.0,,English,CAMPUS,,FULLTIME,,,519
221,ADMINISTRATION,Master Of Public Administration,16.0,,English,CAMPUS,,PARTTIME,,,519
222,ADMINISTRATION,Master Of Public Administration,16.0,,English,ONLINE,,FULLTIME,,,519
223,ADMINISTRATION,Master Of Public Administration,16.0,,English,ONLINE,,PARTTIME,,,519
224,ADMINISTRATION,Master Of Science In Administration School Leadership Msa,20.0,,English,CAMPUS,,FULLTIME,,,155
225,ADMINISTRATION,Master Of Human Resource Management Extension,48.0,,English,CAMPUS,,FULLTIME,,,156
226,ADMINISTRATION,Master Of Human Resource Management Extension,48.0,,English,CAMPUS,,PARTTIME,,,156
227,ADMINISTRATION,Global Master In Public Affairs Lobbying Corporate Diplomacy And Information Analysis,12.0,,Spanish,ONLINE,,FULLTIME,9800.0,EUR,5
228,ADMINISTRATION,Master In Work Psychology And Human Talent Management,,,Spanish (Mexican),CAMPUS,,,,,157
229,ADMINISTRATION,Mcommphil In Logistics Management Rd,36.0,,English,CAMPUS,,FULLTIME,3500.0,USD,158
230,ADMINISTRATION,Mcommphil In Logistics Management Rd,36.0,,English,CAMPUS,,PARTTIME,3500.0,USD,158
231,ADMINISTRATION,Online Master In Supply Chain Management And Logistics,24.0,,English,ONLINE,,FULLTIME,6200.0,EUR,159
232,ADMINISTRATION,Online Master In Supply Chain Management And Logistics,24.0,,English,ONLINE,,PARTTIME,6200.0,EUR,159
233,ADMINISTRATION,Master In Human Resources Management,,,English,CAMPUS,,FULLTIME,13500.0,EUR,46
234,ADMINISTRATION,Mba,24.0,,Spanish,ONLINE,,FULLTIME,8400.0,EUR,86
235,ADMINISTRATION,Msc In Supply Chain Management,24.0,,English,CAMPUS,,FULLTIME,39500.0,EUR,2979
236,ADMINISTRATION,Master In Criminal Justice,,,English,CAMPUS,,,,,2614
237,ADMINISTRATION,Msc Operations And Supply Chain Management,60.0,,English,ONLINE,,FULLTIME,9500.0,GBP,479
238,ADMINISTRATION,Msc Operations And Supply Chain Management,60.0,,English,ONLINE,,PARTTIME,9500.0,GBP,479
239,ADMINISTRATION,Msc Logistics And Supply Chain Management,12.0,,,CAMPUS,,FULLTIME,,,304
