name,image_url
Amity Global Business School,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/154913_amity-logo.png"
Norwich University Online,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/163944_norwich_u.png"
Antwerp Management School,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/121901_logo1.JPG"
Imac Inglés Total,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/167633_Capturadepantalla2021-08-13alas16.14.00.png"
Utrecht University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/93/93650_thumb.jpg"
University of Liverpool Online Programmes,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/133165_133003_UoL_Logo_Masterstudies.png"
Albertus Magnus College,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/144172_albertus-magnus-college-logo-white-95-anniversary.svg"
Clemson University College of Education,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/141094_clemson.png"
Embry-Riddle Aeronautical University Worldwide Online,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/147082_Embry-Riddle_Aeronautical_University_Seal.png"
State University of New York Maritime College,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/163751_OIP26.jpg"
University of Illinois at Chicago College of Urban Planning and Public Affairs,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/123148_123141_COL.CUPPA.PADM.LOCKB.SM.RED.png"
Eindhoven University of Technology,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/117084_TUe-logo-scarlet-L.png"
Universidad Panamericana de Guatemala,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/121393_Logo-Upana-azul.png"
Universidad de Leon,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/114405_1.jpg"
Cameron University inc business,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/143302_download3.png"
Linnaeus University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97139_thumb.jpg"
Benito Juárez University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/149830_Benito.png"
"National-Louis University, College of Management & Business","https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/91/91106_thumb.jpg"
Technical University of Denmark,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/126737_rsz_66110174_2335922333144310_119210055705821184_o.jpg"
Hawaii Pacific University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/140448_hpu-primary-color-1000px.png"
Saint Joseph University of Beirut,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/10/109743_109734_USJlogo.jpg"
University of Pardubice,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/133125_logo_university_of_pardubice.jpg"
University Of Manizales  (Universidad De Manizales),"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/165756_mani.jpeg"
University of Westminster,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/93/93435_thumb.png"
Lingnan University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/90/90331_thumb.gif"
Seton Hall University Online,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/96/96940_thumb.png"
Royal Holloway University of London,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/95/95356_thumb.jpg"
Brown University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/140640_brown.jpg"
Baruch College Austin W. Marxe School of Public and International Affairs,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/147940_download.png"
"Catholic University of Culiacan (Universidad Católica de Culiacán, A.C. (UCC)","https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/165989_culia.jpeg"
National Open and Distance University (Universidad Nacional Abierta y a Distancia (UNAD)),"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/156913_UNAD.png"
ICO NIDA International College,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/160369_Logoiconida.png"
INSEAD,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/128683_XL-png-roundel-strap_CMYK-green.jpg"
University of Birmingham Online,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/134292_CrestLogo_BlackText.png"
Kedge Business School,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/10/108834_Logo-Kedge.png"
"University of Wroclaw - Faculty of Law, Administration and Economics","https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/95/95298_thumb.jpg"
Nazarbayev University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/17/172599_NUlogoedited.png"
University of Fort Hare,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/95/95246_thumb.jpg"
Edith Cowan University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/129049_ECU_AUS_logo_C1.png"
EAE Business School,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/154140_1593369478logoeae.jpg"
London School Of International Business - LSIB,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/93/93444_thumb.jpg"
The University of Texas at Dallas,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/142710_142555_logo.png"
ISEB - Instituto Superior Europeo de Barcelona,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/114462_ISEB_logo.jpg"
Saint Joseph's University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/17/171667_171624_SJU_Letter-mark_RGBnewlogo.jpg"
University of Portsmouth Online,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/138392_portsmouth.jpg"
Ibero-American University (UNIBE),"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/153764_UNIBE.jpeg"
Manhattanville College School of Business,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97012_thumb.jpg"
The American Business School of Paris,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/17/170754_logo-abs-transparent.gif"
Hilbert College,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/146681_download.png"
Trinity Washington University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/143867_Untitled-design16-690x340.png"
University of Technology Sydney,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97248_thumb.jpg"
"Centre for Studies, Clinic and  Psychological Research (Centro de Estudios, Clínica e Investigación  Psicológica)","https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/166345_Capturadepantalla2021-07-12alas14.25.01.png"
University of Johannesburg,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/95/95612_thumb.jpg"
