id,name,language,mode,schedule,deadline,field,url,tution_currency,university_id,duration,tution_amount
16752,Ma In International Development,English,,,,HUMANITIES,,,1354,,
16753,Master Of Arts In Theological Studies,English,CAMPUS,FULLTIME,,HUMANITIES,,USD,3432,24,575
16754,Master Of Divinity,English,CAMPUS,,,HUMANITIES,,,2301,,
16755,Ma In Classics Ancient Civilizations,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,15,,2168
16756,Ma In Classics Ancient Civilizations,English,CAMPUS,PARTTIME,,HUMANITIES,,EUR,15,,2168
16757,Master In Learning And Communication In Multilingual And Multicultural Contexts,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,768,24,200
16758,Master In Learning And Communication In Multilingual And Multicultural Contexts,English,CAMPUS,PARTTIME,,HUMANITIES,,EUR,768,24,200
16759,Master In Learning And Communication In Multilingual And Multicultural Contexts,German,CAMPUS,FULLTIME,,HUMANITIES,,EUR,768,24,200
16760,Master In Learning And Communication In Multilingual And Multicultural Contexts,German,CAMPUS,PARTTIME,,HUMANITIES,,EUR,768,24,200
16761,Master In Learning And Communication In Multilingual And Multicultural Contexts,French,CAMPUS,FULLTIME,,HUMANITIES,,EUR,768,24,200
16762,Master In Learning And Communication In Multilingual And Multicultural Contexts,French,CAMPUS,PARTTIME,,HUMANITIES,,EUR,768,24,200
16763,Master In Documentation And Archival Science,Russian,CAMPUS,FULLTIME,,HUMANITIES,,,485,24,
16764,Master In Documentation And Archival Science,Russian,CAMPUS,PARTTIME,,HUMANITIES,,,485,24,
16765,Ms In Computer And Information Sciences,English,CAMPUS,FULLTIME,,HUMANITIES,,USD,2874,36,6888
16766,Ma Writing For Children,,CAMPUS,FULLTIME,,HUMANITIES,,GBP,642,24,10900
16767,Ma Writing For Children,,CAMPUS,PARTTIME,,HUMANITIES,,GBP,642,24,10900
16768,Ma Interpreting Studies,English,CAMPUS,,,HUMANITIES,,,982,,
16769,Master Of Science In Library And Information Science Archival Studies,English,ONLINE,PARTTIME,,HUMANITIES,,,3470,24,
16770,Mlitt In The Gothic Imagination,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,77,27,6600
16771,Mlitt In The Gothic Imagination,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,77,27,6600
16772,Mfa In Creative Writing,English,,,,HUMANITIES,,,1000,,
16773,Master In Philosophy,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,,24,2168
16774,Masters In History,English,CAMPUS,FULLTIME,,HUMANITIES,,,2505,24,
16775,Writing Popular Fiction Mfa,English,CAMPUS,,,HUMANITIES,,,2243,,
16776,Ma In History,English,CAMPUS,FULLTIME,,HUMANITIES,,USD,51,8,1500
16777,Master Of Arts In Philosophy,English,CAMPUS,FULLTIME,,HUMANITIES,https://apply.unito.it,EUR,1948,24,2800
16778,Master Of Arts In Ministry Leadership,English,CAMPUS,FULLTIME,,HUMANITIES,,USD,2418,22,499
16779,Master Of Arts In Ministry Leadership,English,CAMPUS,PARTTIME,,HUMANITIES,,USD,2418,22,499
16780,Master Of Arts In Ministry Leadership,English,ONLINE,FULLTIME,,HUMANITIES,,USD,2418,22,499
16781,Master Of Arts In Ministry Leadership,English,ONLINE,PARTTIME,,HUMANITIES,,USD,2418,22,499
16782,Online Master Of Transformative Ministry,English,ONLINE,,,HUMANITIES,,,2596,,
16783,Master Of Social Work Msw Faith Based Track,English,ONLINE,FULLTIME,,HUMANITIES,,,45,24,
16784,Master Of Social Work Msw Faith Based Track,English,ONLINE,PARTTIME,,HUMANITIES,,,45,24,
16785,Master Of Philosophy,English,CAMPUS,,,HUMANITIES,,,3579,,
16786,Ma In Creative Writing,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,1000,24,14670
16787,Ma In Creative Writing,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,1000,24,14670
16788,Ma In Applied Ethics For Professionals,English,CAMPUS,PARTTIME,,HUMANITIES,,,667,24,
16789,Master Of Arts In Buddhist Studies Ma,English,CAMPUS,FULLTIME,,HUMANITIES,,,3511,,
16790,Master Of Arts In Buddhist Studies Ma,English,CAMPUS,PARTTIME,,HUMANITIES,,,3511,,
16791,Mres Pastoral Theology,,CAMPUS,FULLTIME,,HUMANITIES,,GBP,3377,24,4500
16792,Mscr In Classics,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,853,24,8300
16793,Mscr In Classics,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,853,24,8300
16794,Master In Archeology And Cultures Of The Ancient World Applied Critical Archaeology And Heritage,English,CAMPUS,FULLTIME,,HUMANITIES,https://www.unibo.it/en/university/covid-19-The-measures-adopted-by-the-University-of-Bologna/covid-misure-universita-di-bologna/?utm_source=Keystone&utm_campaign=Keystone&utm_medium=KeystoneListing,,380,24,
16795,Master In Human Environmental Studies,Japanese,CAMPUS,,,HUMANITIES,,,3331,,
