id,name,language,mode,schedule,deadline,field,url,tution_currency,university_id,duration,tution_amount
16528,Master Of Arts In History,English,CAMPUS,PARTTIME,,HUMANITIES,,,876,48,
16529,Ma History,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,731,,2209
16530,Master In Early Modern History,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,404,,9000
16531,Master Of Divinity Standard,English,CAMPUS,FULLTIME,,HUMANITIES,,,3484,,
16532,The Master Of Religious Education Mre Christian Education Track,English,CAMPUS,FULLTIME,,HUMANITIES,,,2404,24,
16533,Ma In Antiquity Archaeology Pathway,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,843,24,9500
16534,Ma In Antiquity Archaeology Pathway,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,843,24,9500
16535,Master Of Humanism,Spanish (Mexican),CAMPUS,,,HUMANITIES,,,1993,,
16536,Masters Degree In Applied Linguistics,Spanish,CAMPUS,FULLTIME,,HUMANITIES,,EUR,28,,1034
16537,Master Of Christian Leadership Online,English,ONLINE,FULLTIME,,HUMANITIES,https://t.sidekickopen10.com/s1t/c/5/f18dQhb0S7lM8dDMPbW2n0x6l2B9nMJN7t5XWPfhMynW4XHl9M8r4XydW56dTXN1NS252102?te=W3R5hFj4cm2zwW4mKLS-3F9dq7W3F7y_53ZZn2CW3Q_2r63T2_d8f1JxwY5V3&si=8000000001580756&pi=7af37585-2349-4111-895f-ccb4cf9244a2,,3448,,
16538,Master Of Christian Leadership Online,English,ONLINE,PARTTIME,,HUMANITIES,https://t.sidekickopen10.com/s1t/c/5/f18dQhb0S7lM8dDMPbW2n0x6l2B9nMJN7t5XWPfhMynW4XHl9M8r4XydW56dTXN1NS252102?te=W3R5hFj4cm2zwW4mKLS-3F9dq7W3F7y_53ZZn2CW3Q_2r63T2_d8f1JxwY5V3&si=8000000001580756&pi=7af37585-2349-4111-895f-ccb4cf9244a2,,3448,,
16539,Ma In Specialised Translation,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,1638,,14670
16540,Master Of Arts In History,English,CAMPUS,FULLTIME,,HUMANITIES,,USD,876,24,18276
16541,Ma In French Language And Culture,English,ONLINE,PARTTIME,,HUMANITIES,,EUR,2533,,2900
16542,Master Of War Studies,English,CAMPUS,,,HUMANITIES,,,3485,,
16543,Korean Language And Literature Masters Program,English,,,,HUMANITIES,,,3486,,
16544,Korean Language And Literature Masters Program,Korean,,,,HUMANITIES,,,3486,,
16545,Korean Language And Literature Masters Program,Chinese,,,,HUMANITIES,,,3486,,
16546,Ma Creative And Critical Writing,,CAMPUS,FULLTIME,,HUMANITIES,,GBP,642,24,10900
16547,Ma Creative And Critical Writing,,CAMPUS,PARTTIME,,HUMANITIES,,GBP,642,24,10900
16548,Masters Cultural Studies Languages Literatures And The Arts,French,CAMPUS,FULLTIME,,HUMANITIES,,,3261,24,
16549,Masters Degree In Contemporary Culture Literature Artistic Institutions And Cultural Communication Inst Univ Ortega Y Gasset,Spanish,CAMPUS,FULLTIME,,HUMANITIES,https://www.ucm.es/estudios/master-culturacontemporanea,EUR,338,8,7000
16550,Master In Russian Studies,,CAMPUS,FULLTIME,,HUMANITIES,,,763,,
16551,Philosophy,Japanese,CAMPUS,,,HUMANITIES,,,3527,,
16552,Master In Languages And Cultures Of Africa,English,CAMPUS,FULLTIME,,HUMANITIES,,RUB,1471,24,392900
16553,Ma Chinese Studies,English,CAMPUS,FULLTIME,,HUMANITIES,,,731,16,
16554,Ma Chinese Studies,Chinese,CAMPUS,FULLTIME,,HUMANITIES,,,731,16,
16555,Ma In Religion And Cultural Heritage,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,15,,2168
16556,Ma In Digital Humanities,English,CAMPUS,FULLTIME,,HUMANITIES,,USD,1312,24,54196
16557,Master In Language And Mind Linguistics And Cognitive Studies,English,CAMPUS,FULLTIME,,HUMANITIES,https://apply.unisi.it/enter/27,EUR,1510,24,4812
16558,Master In Public History,English,CAMPUS,FULLTIME,,HUMANITIES,,,1579,24,
16559,Master Of Linguistics And Literature English Ma,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,148,,962
16560,Master Of Arts In Christian Studies,English,CAMPUS,FULLTIME,,HUMANITIES,,,245,24,
16561,Master Of Divinity,English,,,,HUMANITIES,,,2301,,
16562,Master Of Divinity,English,CAMPUS,FULLTIME,,HUMANITIES,,KES,2301,36,728325
16563,Master In Linguistics,Kazakh,CAMPUS,FULLTIME,,HUMANITIES,https://www.facebook.com/qyzdaryniversiteti%20,KZT,1108,24,630000
16564,Masters Degree In Philosophy Knowledge And Citizenship,Spanish,CAMPUS,FULLTIME,,HUMANITIES,,EUR,28,8,854
16565,Masters Degree In Philosophy Knowledge And Citizenship,Spanish,CAMPUS,PARTTIME,,HUMANITIES,,EUR,28,8,854
16566,Masters Degree In Philosophy Knowledge And Citizenship,Gallegan,CAMPUS,FULLTIME,,HUMANITIES,,EUR,28,8,854
16567,Masters Degree In Philosophy Knowledge And Citizenship,Gallegan,CAMPUS,PARTTIME,,HUMANITIES,,EUR,28,8,854
16568,Master Of Sacred Arts,English,CAMPUS,,,HUMANITIES,,,2471,,
16569,Master Of Divinity,English,COMBINED,FULLTIME,,HUMANITIES,,CAD,2301,84,710
16570,Master Of Divinity,English,COMBINED,PARTTIME,,HUMANITIES,,CAD,2301,84,710
16571,Master Of Divinity,English,CAMPUS,FULLTIME,,HUMANITIES,,CAD,2301,84,710
16572,Master Of Divinity,English,CAMPUS,PARTTIME,,HUMANITIES,,CAD,2301,84,710
16573,Master Of Divinity,English,ONLINE,FULLTIME,,HUMANITIES,,CAD,2301,84,710
16574,Master Of Divinity,English,ONLINE,PARTTIME,,HUMANITIES,,CAD,2301,84,710
16575,Ma Canon Law,,CAMPUS,FULLTIME,,HUMANITIES,,GBP,3377,24,4500
16576,Ma Canon Law,,CAMPUS,PARTTIME,,HUMANITIES,,GBP,3377,24,4500
16577,Ma Classics And Ancient Civilisations,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,223,,2209
16578,Master Of Christian Counseling Online,English,ONLINE,FULLTIME,,HUMANITIES,https://t.sidekickopen10.com/s1t/c/5/f18dQhb0S7lM8dDMPbW2n0x6l2B9nMJN7t5XWPfhMynW4XHl9M8r4XydW56dTXN1NS252102?te=W3R5hFj4cm2zwW4mKLS-3F9dq7W3F7y_53ZZn2CW3Q_2r63T2_d8f1JxwY5V3&si=8000000001580756&pi=7af37585-2349-4111-895f-ccb4cf9244a2,,3448,,
16579,Master Of Christian Counseling Online,English,ONLINE,PARTTIME,,HUMANITIES,https://t.sidekickopen10.com/s1t/c/5/f18dQhb0S7lM8dDMPbW2n0x6l2B9nMJN7t5XWPfhMynW4XHl9M8r4XydW56dTXN1NS252102?te=W3R5hFj4cm2zwW4mKLS-3F9dq7W3F7y_53ZZn2CW3Q_2r63T2_d8f1JxwY5V3&si=8000000001580756&pi=7af37585-2349-4111-895f-ccb4cf9244a2,,3448,,
16580,Master In Foreign Language Persian,English,CAMPUS,FULLTIME,,HUMANITIES,,,581,,
16581,Master Of Practical Theology,English,CAMPUS,FULLTIME,,HUMANITIES,,,3420,0,
16582,Mlitt In Creative Writing Practice Study,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,755,12,7950
