id,name,country,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index
626,Porto,Portugal,155.16,43.48,64.3,75.2,48.95,13.60,29.51,35.12,96.61
627,Tavira,Portugal,NULL,NULL,87.13,88.89,NULL,10.62,15.0,6.9,98.00
628,San Juan,Puerto Rico,126.38,67.23,30.98,63.45,69.68,5.54,37.46,50.83,71.25
629,Doha,Qatar,152.67,88.97,87.58,73.48,63.25,6.28,30.62,60.3,36.03
630,Kinshasa,Republic Of Congo,0.00,14.93,23.14,18.06,109.23,27.09,75.0,115.52,82.84
631,Brasov,Romania,NULL,44.66,74.4,49.76,36.25,10.52,20.0,34.6,NULL
632,Bucharest,Romania,119.40,52.93,72.08,54.81,39.41,10.14,41.23,75.37,75.61
633,Iasi,Romania,129.10,44.26,71.04,56.33,35.77,11.25,34.26,58.57,73.04
634,Sighetu Marmatiei,Romania,185.75,53.71,52.45,76.39,26.41,5.17,7.5,11.21,79.54
635,Timisoara,Romania,154.25,55.81,77.25,72.34,35.75,9.63,23.6,56.96,82.05
636,Arkhangelsk,Russia,102.70,30.40,55.15,54.83,39.59,14.59,15.4,64.66,31.17
637,Astrakhan,Russia,NULL,NULL,79.71,43.56,NULL,6.38,12.0,60.2,64.84
638,Belgorod,Russia,125.48,31.08,68.79,56.94,31.49,17.74,42.75,35.27,64.98
639,Bryansk,Russia,NULL,NULL,59.31,50.69,NULL,6.08,39.0,75.86,NULL
640,Irkutsk,Russia,96.06,37.23,42.54,54.46,33.44,11.70,29.0,50.83,4.64
641,Izhevsk,Russia,NULL,39.10,65.88,50.28,31.85,10.35,30.17,75.69,NULL
642,Kaliningrad,Russia,120.83,30.46,68.02,52.27,36.95,15.87,33.36,51.88,73.69
643,Kazan,Russia,104.19,36.10,66.26,62.35,33.26,16.71,38.38,63.42,39.56
644,Khabarovsk,Russia,NULL,NULL,60.92,44.05,NULL,15.09,28.75,50.77,15.90
645,Khimki,Russia,NULL,NULL,51.47,33.33,NULL,7.77,77.5,66.67,56.73
646,Kirov,Russia,NULL,NULL,75.98,56.02,NULL,11.21,39.33,45.4,NULL
647,Krasnodar,Russia,109.36,35.22,66.55,50.9,33.62,15.79,53.67,57.94,78.72
648,Krasnoyarsk,Russia,73.75,42.15,53.28,45.08,32.58,9.30,43.59,84.88,9.50
649,Kursk,Russia,NULL,NULL,77.45,69.44,NULL,11.72,14.0,27.59,66.98
650,Magnitogorsk,Russia,NULL,NULL,25.0,27.78,NULL,7.00,40.0,97.02,25.86
651,Makhachkala,Russia,NULL,30.87,72.95,41.67,33.87,7.93,25.0,48.71,NULL
652,Moscow,Russia,105.25,49.97,62.1,64.39,43.05,22.08,51.17,57.27,55.83
653,Murmansk,Russia,NULL,NULL,56.47,45.37,NULL,NULL,45.0,42.36,23.23
654,Nizhny Novgorod,Russia,138.20,35.14,68.29,74.13,34.64,13.57,29.25,34.75,45.51
655,Novokuznetsk,Russia,NULL,NULL,40.88,50.0,NULL,8.02,4.0,86.21,NULL
656,Novorossiysk,Russia,NULL,47.14,56.62,56.02,32.13,8.43,21.67,78.22,NULL
657,Novosibirsk,Russia,84.36,37.64,52.75,55.42,33.18,12.39,41.31,72.39,16.14
658,Omsk,Russia,78.36,35.50,63.57,45.99,32.95,8.83,51.33,80.56,16.40
659,Orenburg,Russia,97.66,33.57,61.76,50.0,36.30,8.26,34.67,71.03,29.79
660,Penza,Russia,NULL,NULL,64.71,45.83,NULL,9.57,31.0,55.86,47.55
661,Perm,Russia,90.16,35.34,53.08,43.86,33.46,10.29,44.09,62.62,28.10
662,Petrozavodsk,Russia,NULL,NULL,65.58,100.0,NULL,NULL,43.0,47.13,NULL
663,Rostovnadonu,Russia,103.67,36.79,47.48,54.01,33.74,9.09,41.0,72.07,73.85
664,Saint Petersburg,Russia,104.00,41.33,60.82,59.17,38.10,17.25,48.37,62.36,60.64
665,Samara,Russia,102.22,34.83,63.34,45.96,36.44,10.88,41.89,60.1,41.31
666,Saratov,Russia,73.82,26.06,52.52,26.74,32.44,12.44,40.27,82.76,52.30
667,Sevastopol,Russia,NULL,NULL,66.06,58.89,NULL,18.39,17.71,46.12,78.26
668,Simferopol,Russia,NULL,NULL,63.53,49.07,NULL,12.30,30.4,79.17,NULL
669,Smolensk,Russia,NULL,NULL,67.85,52.88,NULL,10.64,30.0,60.92,NULL
670,Sochi,Russia,NULL,NULL,65.35,46.54,NULL,22.99,40.75,33.49,91.70
671,Stavropol,Russia,154.92,39.44,65.05,58.89,29.87,8.66,26.5,23.89,71.68
672,Taganrog,Russia,NULL,NULL,69.98,50.0,NULL,4.86,21.5,59.77,NULL
673,Tolyatti Togliatti,Russia,NULL,NULL,62.58,47.5,NULL,6.76,27.0,65.96,38.13
674,Tyumen,Russia,117.15,39.84,58.66,64.19,33.00,10.86,34.8,44.57,22.44
675,Ufa,Russia,79.56,37.21,47.06,58.58,33.98,11.16,40.35,85.39,28.12
676,Ulyanovsk,Russia,NULL,27.05,42.94,40.28,35.04,10.23,14.0,47.84,NULL
677,Vladivostok,Russia,81.42,32.32,55.49,53.57,43.57,16.71,40.71,70.86,23.94
678,Volgograd,Russia,NULL,NULL,47.07,41.11,NULL,10.67,30.94,79.38,56.06
679,Vologda,Russia,NULL,NULL,100.0,44.44,NULL,NULL,22.5,37.93,NULL
680,Voronezh,Russia,101.94,35.61,59.06,47.31,35.34,11.62,34.33,71.51,57.69
681,Yakutsk,Russia,112.93,66.20,80.65,61.11,40.25,8.30,35.0,66.67,-12.15
682,Yekaterinburg,Russia,94.43,56.24,53.23,50.88,34.84,8.85,38.37,75.94,21.33
683,Yuzhnosakhalinsk,Russia,NULL,NULL,54.04,36.11,NULL,13.47,20.0,95.98,23.15
684,Kigali,Rwanda,0.00,26.63,75.2,68.82,31.90,210.56,16.0,45.91,99.74
685,Georgetown,Saint Vincent And The Grenadines,45.96,18.10,29.24,35.71,48.14,36.75,52.0,66.84,65.81
686,Ad Dammam,Saudi Arabia,142.98,93.44,69.73,61.4,47.29,3.34,29.0,60.53,27.34
687,Al Khobar,Saudi Arabia,158.05,92.97,87.42,69.44,57.84,3.33,23.8,58.28,27.72
688,Alkhubar,Saudi Arabia,NULL,NULL,82.76,48.61,NULL,NULL,31.67,31.72,30.69
689,Buraydah,Saudi Arabia,173.72,114.24,87.35,41.67,42.92,0.76,20.0,40.23,28.67
690,Jeddah Jiddah,Saudi Arabia,144.09,78.19,70.88,58.72,52.12,3.15,28.71,68.18,66.17
691,Jubail,Saudi Arabia,136.07,85.71,74.31,51.92,50.62,6.93,20.22,64.68,27.28
692,Medina,Saudi Arabia,131.94,82.14,90.79,44.51,52.81,2.11,24.5,79.8,26.18
693,Riyadh,Saudi Arabia,147.91,91.82,73.25,64.55,52.59,2.77,30.01,64.58,44.45
694,Dakar,Senegal,0.00,23.03,57.63,50.64,50.77,115.65,25.0,96.36,85.64
695,Saintlouis,Senegal,181.74,144.63,29.47,80.43,66.87,1.61,27.23,39.04,74.75
696,Belgrade,Serbia,109.51,36.78,61.87,54.08,39.51,20.61,35.91,64.95,84.14
697,Cuprija,Serbia,145.01,33.12,58.82,64.58,28.35,7.85,5.0,56.25,81.60
698,Jagodina,Serbia,NULL,NULL,59.06,60.0,NULL,12.73,25.0,70.44,81.53
699,Novi Sad,Serbia,134.61,43.13,59.06,50.83,37.07,14.79,16.41,50.71,84.02
700,Stara Pazova,Serbia,NULL,38.75,62.5,34.26,36.99,9.98,10.0,53.45,NULL
701,Victoria,Seychelles,120.44,19.64,51.47,60.19,70.17,16.08,29.33,33.1,67.83
